date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2025-01-02,2881,11314685,1021206388,90.0,90.7,90.0,90.7,0.4,7490
2025-01-03,2881,5941404,540807007,90.9,91.3,90.7,91.1,0.4,4024
2025-01-06,2881,11045308,1014097335,91.3,92.0,91.2,91.9,0.8,8015
2025-01-07,2881,10498646,963174994,92.1,92.2,91.2,91.9,0.0,7088
2025-01-08,2881,7415841,677504967,91.8,91.8,91.1,91.1,-0.8,4664
2025-01-09,2881,12725564,1165897678,91.3,92.3,90.9,91.1,0.0,6788
2025-01-10,2881,25543196,2301905166,91.1,91.1,89.3,89.9,-1.2,19249
2025-01-13,2881,22000484,1977066417,90.2,91.1,89.2,89.8,-0.1,14632
2025-01-14,2881,14924875,1355594366,90.1,91.4,90.0,90.8,1.0,9071
2025-01-15,2881,9614537,878201592,91.0,91.6,90.2,90.4,-0.4,15848
2025-01-16,2881,13354973,1222804625,91.5,91.9,91.3,91.6,1.2,7800
2025-01-17,2881,6806019,619690525,91.6,91.6,90.7,91.0,-0.6,15301
2025-01-20,2881,6805372,618826272,91.2,91.6,90.5,90.5,-0.5,6183
2025-01-21,2881,13658524,1252089712,90.8,92.1,90.6,91.5,1.0,6785
2025-01-22,2881,25150054,2331163223,92.2,93.2,92.1,92.8,1.3,12300
2025-02-03,2881,19253415,1762272932,91.5,91.7,90.4,91.4,-1.4,29680
2025-02-04,2881,14585606,1326765086,92.0,92.3,90.3,90.3,-1.1,10654
2025-02-05,2881,11197669,1026568361,91.5,92.0,91.1,91.8,1.5,7963
2025-02-06,2881,16748701,1548621786,92.0,93.0,91.6,93.0,1.2,9639
2025-02-07,2881,8358661,772433261,92.6,93.0,92.1,92.3,-0.7,16202
2025-02-10,2881,17676820,1645680190,92.0,93.4,92.0,93.4,1.1,10148
2025-02-11,2881,15061350,1417705440,93.6,94.5,93.4,93.8,0.4,9760
2025-02-12,2881,9178225,858372982,93.3,93.9,93.3,93.4,-0.4,9006
2025-02-13,2881,11213315,1045544322,93.0,93.8,92.5,93.4,0.0,12577
2025-02-14,2881,9148769,853396881,93.2,93.6,93.0,93.1,-0.3,9401
2025-02-17,2881,10262710,965138585,93.5,94.3,93.5,94.0,0.9,8415
2025-02-18,2881,8576526,806917900,93.7,94.3,93.7,94.3,0.3,8917
2025-02-19,2881,25986198,2413430594,93.9,94.1,92.4,92.4,-1.9,43006
2025-02-20,2881,14751871,1360513425,92.3,92.9,92.0,92.0,-0.4,8684
2025-02-21,2881,8222755,759688130,92.0,92.6,91.9,92.6,0.6,4823
2025-02-24,2881,18276611,1677926215,91.9,92.3,91.5,91.6,-1.0,13413
2025-02-25,2881,9785930,897441060,91.3,92.0,91.2,91.7,0.1,5054
2025-02-26,2881,13902891,1283882258,91.3,92.9,91.3,92.8,1.1,6530
2025-02-27,2881,30059319,2777060455,92.6,92.9,92.3,92.3,-0.5,5408
2025-03-03,2881,14952239,1379522364,92.0,92.8,91.7,92.8,0.5,8596
2025-03-04,2881,22722516,2074776433,91.5,91.9,90.8,91.2,-1.6,12905
2025-03-05,2881,10744846,987642429,91.2,92.3,91.2,91.8,0.6,6321
2025-03-06,2881,6446976,595210781,91.5,92.5,91.5,92.5,0.7,4370
2025-03-07,2881,20766298,1892477851,91.8,91.9,90.9,90.9,-1.6,13599
2025-03-10,2881,13919786,1265008463,91.3,91.3,90.6,90.7,-0.2,6547
2025-03-11,2881,35972541,3216410006,89.8,90.3,88.6,89.7,-1.0,22797
2025-03-12,2881,18221655,1635430690,89.8,90.2,89.5,89.5,-0.2,11819
2025-03-13,2881,14907218,1334726674,90.1,90.1,89.0,89.0,-0.5,9377
2025-03-14,2881,23406633,2074189979,89.0,89.7,88.2,88.2,-0.8,16714
2025-03-17,2881,19878376,1786453571,88.8,90.3,88.7,90.0,1.8,11436
2025-03-18,2881,21386359,1930767976,90.4,91.0,89.6,90.4,0.4,8387
2025-03-19,2881,15977043,1429074887,90.2,90.4,89.0,89.0,-1.4,12393
2025-03-20,2881,9851623,886560752,89.7,90.5,89.6,89.9,0.9,5151
2025-03-21,2881,14855734,1325855350,89.9,90.1,89.0,89.0,-0.9,6610
2025-03-24,2881,7749846,694488237,89.2,89.8,89.0,89.0,0.0,5929
2025-03-25,2881,8472283,759550020,89.5,90.2,89.3,89.7,0.7,4889
2025-03-26,2881,6046074,543029768,89.7,90.1,89.5,89.9,0.2,3676
2025-03-27,2881,10662715,955311923,89.5,89.9,89.1,89.9,0.0,6815
2025-03-28,2881,17635799,1564973589,89.3,89.5,88.0,88.2,-1.7,15922
2025-03-31,2881,31811098,2737256903,86.5,87.0,85.3,85.3,-2.9,21416
2025-04-01,2881,16517566,1436738072,85.8,87.5,85.6,87.4,2.1,9783
2025-04-02,2881,9092777,796060146,86.9,87.9,86.9,87.6,0.2,5916
2025-04-07,2881,10574527,834329865,78.9,78.9,78.9,78.9,-8.7,14208
2025-04-08,2881,58653875,4497484532,74.0,78.5,74.0,77.9,-1.0,35246
2025-04-09,2881,46882643,3536073219,79.0,79.8,72.1,72.1,-5.8,35447
2025-04-10,2881,9962966,790062800,79.3,79.3,79.3,79.3,7.2,4730
2025-04-11,2881,29271460,2321007059,77.5,80.8,77.4,80.4,1.1,16733
2025-04-14,2881,24336144,1979786311,80.8,82.5,80.6,80.9,0.5,12629
2025-04-15,2881,14647284,1207136741,81.3,83.2,81.2,82.5,1.6,10227
2025-04-16,2881,24003098,1934560704,81.5,81.9,80.0,80.1,-2.4,21165
2025-04-17,2881,12727571,1016254489,80.1,80.3,79.4,79.6,-0.5,8531
2025-04-18,2881,8832195,704503571,80.0,80.3,79.5,79.5,-0.1,5247
2025-04-21,2881,7929672,627054665,79.5,79.8,78.3,79.0,-0.5,6657
2025-04-22,2881,16318149,1274056111,77.6,78.1,77.0,77.3,-1.7,13378
2025-04-23,2881,15368181,1207064293,78.3,79.3,77.7,79.3,2.0,8177
2025-04-24,2881,16088318,1264469341,79.2,79.7,78.0,78.3,-1.0,10175
2025-04-25,2881,13916533,1103561355,79.3,79.6,78.8,79.4,1.1,8476
2025-04-28,2881,17163036,1364782450,79.9,80.1,79.2,79.2,-0.2,9109
2025-04-29,2881,21402367,1733109899,79.5,81.5,79.5,81.4,2.2,11497
2025-04-30,2881,42913607,3624940118,82.5,85.5,82.5,84.3,2.9,20885
2025-05-02,2881,22992933,1944779779,84.7,85.0,84.0,85.0,0.7,14453
2025-05-05,2881,70400279,5619388581,80.0,80.8,78.8,80.0,-5.0,40592
2025-05-06,2881,60319133,4759093213,78.3,79.3,77.8,79.0,-1.0,31189
2025-05-07,2881,53335088,4165185338,79.2,79.2,77.6,78.0,-1.0,34118
2025-05-08,2881,26532848,2077498550,78.0,78.7,78.0,78.1,0.1,14489
2025-05-09,2881,44738307,3451759199,77.2,77.8,76.7,77.4,-0.7,33509
2025-05-12,2881,20699312,1616029289,77.6,78.5,77.6,78.1,0.7,13009
2025-05-13,2881,38567171,3050331567,78.8,79.7,78.7,79.0,0.9,15541
2025-05-14,2881,43729656,3487365014,79.6,80.1,79.2,80.0,1.0,18107
2025-05-15,2881,36836018,2948029826,80.4,80.5,79.4,80.5,0.5,16092
2025-05-16,2881,32888099,2672557894,80.2,82.0,80.2,81.9,1.4,15598
2025-05-19,2881,29641546,2377547560,81.1,81.2,79.8,79.8,-2.1,18391
2025-05-20,2881,15988443,1288424162,80.7,81.1,80.1,80.7,0.9,7429
2025-05-21,2881,31151790,2535963108,80.5,81.8,80.4,81.5,0.8,17242
2025-05-22,2881,26189260,2135933159,80.5,82.1,80.2,81.9,0.4,12794
2025-05-23,2881,21658492,1776850128,81.7,82.9,81.5,81.5,-0.4,11493
2025-05-26,2881,19167975,1560189901,81.3,82.0,80.8,80.9,-0.6,9377
2025-05-27,2881,17761609,1432444377,80.7,81.4,80.3,80.3,-0.6,9180
2025-05-28,2881,20243421,1618054274,80.7,80.9,79.5,79.5,-0.8,11890
2025-05-29,2881,52766317,4221632361,80.0,81.0,79.6,79.6,0.1,12973
2025-06-02,2881,68838382,5581177446,79.6,82.2,79.2,81.8,2.2,25806
2025-06-03,2881,66346624,5469786062,81.8,83.6,80.8,83.6,1.8,33437
2025-06-04,2881,132692907,11532685464,83.9,89.4,83.2,87.1,3.5,59884
