date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2025-01-02,2308,11380681,4783630401,430.5,436.5,412.5,417.0,-13.5,26479
2025-01-03,2308,9851603,4096589825,419.5,422.0,412.5,414.0,-3.0,7975
2025-01-06,2308,7109722,2961882393,422.0,422.0,415.0,418.5,4.5,6043
2025-01-07,2308,7751389,3332968536,425.0,434.0,423.5,432.0,13.5,8716
2025-01-08,2308,12300630,5330039702,440.5,446.0,425.5,428.0,-4.0,10523
2025-01-09,2308,5235447,2201723648,428.0,430.0,417.0,417.5,-10.5,7041
2025-01-10,2308,4405382,1843054259,420.0,420.5,416.0,420.0,2.5,3927
2025-01-13,2308,9734037,3938130763,413.5,415.5,400.0,400.0,-20.0,12148
2025-01-14,2308,10194540,4162323274,410.0,412.5,403.0,410.0,10.0,7554
2025-01-15,2308,9458307,3794806928,404.5,406.5,398.5,400.5,-9.5,9176
2025-01-16,2308,9885870,4120907506,408.5,424.5,405.5,418.5,18.0,9049
2025-01-17,2308,6581399,2771287018,421.0,426.0,414.5,422.0,3.5,6551
2025-01-20,2308,4795905,2051535027,425.0,431.5,425.0,427.0,5.0,5398
2025-01-21,2308,6714879,2837203178,425.0,428.5,418.5,421.5,-5.5,6717
2025-01-22,2308,10034866,4349995402,424.0,438.0,424.0,437.5,16.0,12433
2025-02-03,2308,21442807,8562086482,400.0,407.0,394.5,399.0,-38.5,32993
2025-02-04,2308,9832298,3943454067,401.5,408.0,396.5,397.0,-2.0,12646
2025-02-05,2308,6794679,2761080871,403.0,410.0,403.0,405.5,8.5,6617
2025-02-06,2308,8942631,3710017537,413.5,417.5,411.5,417.0,11.5,7907
2025-02-07,2308,4903016,2022822124,418.0,418.5,409.0,415.0,-2.0,6878
2025-02-10,2308,5455004,2214491910,405.0,409.5,404.0,404.5,-10.5,8402
2025-02-11,2308,6933390,2800840141,405.0,408.0,402.0,402.0,-2.5,6673
2025-02-12,2308,3998133,1610368483,403.0,406.5,401.0,401.0,-1.0,5091
2025-02-13,2308,6701476,2708460961,401.0,406.0,400.5,405.0,4.0,5092
2025-02-14,2308,5005852,2011567147,402.0,406.0,400.0,401.0,-4.0,7661
2025-02-17,2308,4598247,1866406474,400.0,408.5,400.0,406.0,5.0,5362
2025-02-18,2308,21321011,8392544011,402.0,403.5,390.5,391.0,-15.0,37838
2025-02-19,2308,8248001,3229349641,386.0,394.0,386.0,392.0,1.0,11227
2025-02-20,2308,10129322,3966771228,392.5,394.5,390.0,390.0,-2.0,12173
2025-02-21,2308,9099579,3568880519,386.5,396.0,386.5,396.0,6.0,9707
2025-02-24,2308,7070816,2784138643,391.5,396.0,389.5,395.5,-0.5,7260
2025-02-25,2308,7896486,3110709617,389.5,397.0,389.5,393.0,-2.5,6852
2025-02-26,2308,9935842,3935494814,392.0,399.0,391.0,399.0,6.0,7561
2025-02-27,2308,19818567,7973422244,394.0,407.0,394.0,402.0,3.0,14080
2025-03-03,2308,12654968,4986004404,397.0,400.0,390.0,390.0,-12.0,15072
2025-03-04,2308,20515117,7760387194,385.0,387.0,373.0,377.5,-12.5,33768
2025-03-05,2308,10339351,3926054590,379.0,383.0,377.5,378.5,1.0,11269
2025-03-06,2308,8387739,3225572577,381.5,387.5,380.5,383.5,5.0,8421
2025-03-07,2308,9283003,3503241250,381.5,381.5,375.0,375.0,-8.5,14564
2025-03-10,2308,6133006,2314909172,375.0,381.0,375.0,375.5,0.5,6323
2025-03-11,2308,9688806,3589597429,372.0,373.5,365.5,370.5,-5.0,12665
2025-03-12,2308,13619884,5236394059,371.5,389.5,371.5,387.5,17.0,13878
2025-03-13,2308,11619792,4564628503,392.5,398.0,388.0,388.5,1.0,11263
2025-03-14,2308,9504845,3613191597,385.0,386.0,377.0,378.5,-10.0,10634
2025-03-17,2308,12188489,4786985999,385.0,396.0,383.0,394.0,15.5,13161
2025-03-18,2308,8481895,3365038851,393.0,400.0,392.5,400.0,6.0,9484
2025-03-19,2308,7045784,2770151217,398.0,400.0,390.5,390.5,-9.5,7354
2025-03-20,2308,8096266,3202229245,391.0,401.0,391.0,393.5,3.0,6943
2025-03-21,2308,9864363,3896791782,392.5,398.0,390.0,396.0,2.5,5466
2025-03-24,2308,10204406,4065738772,400.0,406.0,392.0,392.0,-4.0,7844
2025-03-25,2308,4709909,1847717930,392.5,395.5,390.5,392.0,0.0,5016
2025-03-26,2308,9663861,3849588341,396.5,400.5,394.0,399.0,7.0,9557
2025-03-27,2308,5235582,2050281828,395.0,395.0,381.5,392.0,-7.0,5645
2025-03-28,2308,9839778,3731621396,383.0,386.5,375.0,376.5,-15.5,15288
2025-03-31,2308,9089289,3305394560,365.0,369.5,360.0,360.0,-16.5,13834
2025-04-01,2308,6303543,2314093740,365.0,371.5,362.5,371.0,11.0,6162
2025-04-02,2308,3560122,1316138816,365.0,373.5,364.0,369.5,-1.5,4007
2025-04-07,2308,2702060,899785980,333.0,333.0,333.0,333.0,-36.5,5131
2025-04-08,2308,28828129,8725188107,300.5,311.0,300.0,305.0,-28.0,25795
2025-04-09,2308,17454496,5044888760,293.0,304.5,275.0,280.5,-24.5,22380
2025-04-10,2308,3756951,1159019204,308.5,308.5,308.5,308.5,28.0,1706
2025-04-11,2308,22276600,7124128162,306.5,335.0,300.5,335.0,26.5,28090
2025-04-14,2308,17883868,6027727171,349.5,350.0,328.0,330.0,-5.0,18248
2025-04-15,2308,7304809,2408460013,329.5,332.5,324.0,330.5,0.5,10436
2025-04-16,2308,7393291,2393263638,325.0,327.5,320.5,320.5,-10.0,8408
2025-04-17,2308,12774866,3996947244,313.5,316.5,307.0,315.5,-5.0,12417
2025-04-18,2308,2490057,791396663,316.0,320.0,315.0,319.5,4.0,3319
2025-04-21,2308,3296876,1035163013,316.5,319.0,309.5,312.0,-7.5,4883
2025-04-22,2308,4559786,1422440299,308.5,317.0,308.5,310.0,-2.0,4943
2025-04-23,2308,7258477,2361484857,316.5,331.5,314.5,329.5,19.5,8208
2025-04-24,2308,5420602,1778577264,332.0,334.5,324.5,326.5,-3.0,18794
2025-04-25,2308,8413008,2802457718,334.0,339.5,329.5,330.5,4.0,14724
2025-04-28,2308,6350574,2159220787,343.0,344.0,335.5,340.5,10.0,6752
2025-04-29,2308,7981381,2689544828,339.0,340.0,332.0,340.0,-0.5,7301
2025-04-30,2308,8648793,2893859112,337.5,338.5,333.0,333.5,-6.5,7367
2025-05-02,2308,13425230,4665197325,339.5,356.0,337.0,354.0,20.5,12654
2025-05-05,2308,10878687,3890748919,364.0,364.0,352.5,358.0,4.0,10162
2025-05-06,2308,7948677,2849956375,355.0,363.0,353.0,359.0,1.0,6746
2025-05-07,2308,7876563,2855932458,360.0,368.0,359.5,363.5,4.5,6522
2025-05-08,2308,9971284,3691103182,363.0,375.0,362.5,372.0,8.5,9697
2025-05-09,2308,9848583,3683508681,377.5,378.0,370.5,374.0,2.0,8148
