date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2025-01-02,2412,10306331,1266524257,123.5,124.0,122.5,123.0,-0.5,7253
2025-01-03,2412,2915039,358180784,123.0,123.5,122.5,122.5,-0.5,1913
2025-01-06,2412,6414285,793122573,123.0,124.0,123.0,123.5,1.0,3696
2025-01-07,2412,5105180,630312259,124.0,124.0,123.0,123.0,-0.5,2733
2025-01-08,2412,7683360,950879028,123.5,124.5,123.0,123.5,0.5,3213
2025-01-09,2412,5516189,679885540,123.5,124.0,123.0,123.0,-0.5,2392
2025-01-10,2412,6084755,747749976,123.0,123.5,122.5,123.0,0.0,3111
2025-01-13,2412,8494653,1042969975,122.5,123.0,122.5,123.0,0.0,3847
2025-01-14,2412,4605748,567503608,123.0,123.5,123.0,123.5,0.5,1919
2025-01-15,2412,4608940,567992374,123.5,123.5,123.0,123.5,0.0,2396
2025-01-16,2412,4221329,521669847,123.5,124.0,123.0,124.0,0.5,2417
2025-01-17,2412,4008341,496377036,123.5,124.0,123.5,124.0,0.0,2146
2025-01-20,2412,2315725,286369187,124.0,124.0,123.5,123.5,-0.5,1911
2025-01-21,2412,3793832,468402675,123.5,124.0,123.0,123.5,0.0,2535
2025-01-22,2412,7509147,931972658,124.0,124.5,123.5,124.5,1.0,2774
2025-02-03,2412,13563731,1694358393,124.5,125.5,124.0,125.5,1.0,7093
2025-02-04,2412,9420479,1179712417,125.5,126.0,125.0,125.0,-0.5,3470
2025-02-05,2412,9252015,1163884757,126.0,126.0,125.0,126.0,1.0,4267
2025-02-06,2412,5363667,674787624,126.0,126.0,125.0,126.0,0.0,2711
2025-02-07,2412,5883700,738414260,125.5,126.0,125.0,126.0,0.0,3586
2025-02-10,2412,5767450,723277303,125.5,126.0,125.0,125.5,-0.5,3501
2025-02-11,2412,3242743,407348660,125.5,126.0,125.5,125.5,0.0,1891
2025-02-12,2412,7279185,917725195,126.0,126.5,125.5,126.0,0.5,3121
2025-02-13,2412,6377921,803150653,126.0,126.5,125.5,125.5,-0.5,3434
2025-02-14,2412,3679507,462526072,126.0,126.0,125.5,125.5,0.0,1949
2025-02-17,2412,4777332,600702275,126.0,126.0,125.5,126.0,0.5,3909
2025-02-18,2412,6498055,819549683,126.0,126.5,125.5,126.5,0.5,3493
2025-02-19,2412,9494724,1200058042,126.5,127.0,126.0,126.5,0.0,4155
2025-02-20,2412,3365924,425110272,126.5,126.5,126.0,126.5,0.0,1831
2025-02-21,2412,4725293,598827612,126.5,127.0,126.0,127.0,0.5,2098
2025-02-24,2412,5750325,729114357,126.5,127.0,126.0,127.0,0.0,2644
2025-02-25,2412,3801957,481420330,126.5,127.0,126.5,126.5,-0.5,2313
2025-02-26,2412,7932147,1007801476,126.5,127.5,126.5,127.5,1.0,4359
2025-02-27,2412,18345818,2344528996,128.0,128.0,127.0,128.0,0.5,4797
2025-03-03,2412,11729616,1504333243,128.0,128.5,127.5,128.5,0.5,5217
2025-03-04,2412,8866292,1132495339,128.5,128.5,127.0,127.0,-1.5,3772
2025-03-05,2412,6411264,818252630,127.5,128.0,127.0,127.5,0.5,3696
2025-03-06,2412,6077362,777322587,128.0,128.0,127.5,128.0,0.5,3338
2025-03-07,2412,8553758,1093713040,128.0,128.5,127.5,128.0,0.0,4852
2025-03-10,2412,6582677,842509350,128.0,128.5,127.5,128.0,0.0,4416
2025-03-11,2412,13396049,1708271188,127.5,128.5,127.0,127.5,-0.5,5520
2025-03-12,2412,6534893,836727505,127.5,128.5,127.5,128.0,0.5,2833
2025-03-13,2412,4235306,543226545,128.5,128.5,128.0,128.5,0.5,2252
2025-03-14,2412,17334314,2222641700,128.5,129.0,127.0,128.5,0.0,5274
2025-03-17,2412,6452280,826687120,128.0,128.5,127.5,128.0,-0.5,3345
2025-03-18,2412,14530222,1871592010,128.5,129.5,128.5,129.0,1.0,3637
2025-03-19,2412,5635892,725654660,129.0,129.0,128.5,128.5,-0.5,3249
2025-03-20,2412,9501344,1225824126,129.0,129.5,128.5,129.0,0.5,3061
2025-03-21,2412,15728454,2038271021,129.0,130.0,128.5,130.0,1.0,4704
2025-03-24,2412,4353886,562824461,130.0,130.0,129.0,129.0,-1.0,3303
2025-03-25,2412,4376771,565130173,129.5,129.5,128.5,129.0,0.0,2631
2025-03-26,2412,3238189,417527075,129.5,129.5,128.5,129.0,0.0,2092
2025-03-27,2412,6784470,879219840,129.0,130.0,128.5,130.0,1.0,3492
2025-03-28,2412,5297359,687479124,129.5,130.0,129.0,130.0,0.0,3364
2025-03-31,2412,16340579,2103181655,129.0,129.5,128.0,128.5,-1.5,5740
2025-04-01,2412,9281123,1203257442,129.0,130.0,129.0,130.0,1.5,4376
2025-04-02,2412,8540026,1108327565,129.5,130.0,129.0,130.0,0.0,4058
2025-04-07,2412,53166902,6601387520,123.0,127.0,122.0,124.0,-6.0,29634
2025-04-08,2412,31091480,3927016586,125.5,127.5,125.0,127.0,3.0,14101
2025-04-09,2412,36791910,4679317177,126.0,129.0,125.0,126.0,-1.0,13686
2025-04-10,2412,40541465,5160870468,129.0,129.5,126.0,127.0,1.0,15933
2025-04-11,2412,21437083,2748701431,127.5,129.0,127.0,128.5,1.5,7845
2025-04-14,2412,12946305,1655999960,128.0,129.0,127.0,127.5,-1.0,6132
2025-04-15,2412,13223379,1699613372,128.0,129.0,127.5,129.0,1.5,5068
2025-04-16,2412,13905736,1788371637,128.5,129.5,128.0,128.5,-0.5,5447
2025-04-17,2412,7183217,922959415,129.0,129.0,128.0,128.0,-0.5,3062
2025-04-18,2412,5919358,759093166,129.0,129.0,127.5,128.0,0.0,2738
2025-04-21,2412,5882174,750527201,128.0,128.5,127.0,127.0,-1.0,2981
2025-04-22,2412,14128378,1813911597,128.0,129.0,127.0,128.0,1.0,4524
2025-04-23,2412,11780905,1504040709,128.5,129.0,127.0,127.5,-0.5,5214
2025-04-24,2412,11573631,1468586368,127.5,128.0,126.5,127.0,-0.5,6524
