date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2025-01-02,2882,24727966,1676542827,68.7,68.7,67.3,68.0,-0.3,10648
2025-01-03,2882,18206595,1232852655,68.1,68.3,67.5,67.8,-0.2,7357
2025-01-06,2882,27628426,1898085800,68.3,69.2,68.1,68.8,1.0,9002
2025-01-07,2882,24181601,1662352413,69.1,69.2,68.3,69.1,0.3,11407
2025-01-08,2882,25363565,1749070011,68.8,69.4,68.6,68.8,-0.3,8782
2025-01-09,2882,11583847,797158822,68.6,69.3,68.3,68.3,-0.5,7247
2025-01-10,2882,80020459,5259591358,67.5,67.6,64.7,65.1,-3.2,44869
2025-01-13,2882,37271562,2396465177,65.0,65.7,63.6,64.2,-0.9,16811
2025-01-14,2882,22131570,1444977078,64.5,65.7,64.5,65.5,1.3,9425
2025-01-15,2882,20305294,1322400987,65.5,65.8,64.6,64.7,-0.8,9275
2025-01-16,2882,14793449,964551087,65.6,65.9,65.3,65.5,0.8,6097
2025-01-17,2882,12914394,847568878,65.8,66.1,64.9,65.5,0.0,5584
2025-01-20,2882,9525982,622114471,65.7,65.9,65.0,65.1,-0.4,4894
2025-01-21,2882,10589062,697779866,65.3,66.2,65.1,65.9,0.8,4728
2025-01-22,2882,26533413,1775707545,66.5,67.3,66.4,66.8,0.9,8965
2025-02-03,2882,22307045,1466400846,65.1,66.3,64.9,66.0,-0.8,11931
2025-02-04,2882,15536093,1018648554,66.5,66.8,65.1,65.2,-0.8,8625
2025-02-05,2882,15830853,1050858092,65.9,66.7,65.7,66.5,1.3,6538
2025-02-06,2882,10247751,683889532,66.8,66.9,66.3,66.9,0.4,4817
2025-02-07,2882,11788640,788174157,66.6,67.2,66.4,66.9,0.0,6574
2025-02-10,2882,17383972,1172939040,66.7,68.0,66.6,67.4,0.5,7782
2025-02-11,2882,21044011,1442878438,68.1,68.8,68.0,68.5,1.1,8564
2025-02-12,2882,10266112,703970423,68.6,68.9,68.2,68.7,0.2,4316
2025-02-13,2882,13462823,924757628,68.6,69.0,68.2,68.7,0.0,6603
2025-02-14,2882,11053730,760366212,68.7,69.0,68.4,68.7,0.0,4550
2025-02-17,2882,16448344,1136501090,68.9,69.3,68.8,69.0,0.3,7266
2025-02-18,2882,8824479,609443652,68.7,69.2,68.7,69.2,0.2,3853
2025-02-19,2882,13423084,922652466,69.0,69.2,68.3,68.7,-0.5,12042
2025-02-20,2882,14049406,965105239,68.7,69.0,68.3,68.8,0.1,6133
